requested_density,run,initial_population,initial_susceptible,final_susceptible,final_recovered,final_healthy_density,mortality_fraction,infection_episodes,infection_episodes_per_initial_population,peak_infectious,peak_prevalence,duration_generations,time_to_peak,wave_count,resurgence_count
40.0,28,105099.0,105087.0,105078.0,1.0,0.4008445739746094,0.0001902967678093,1064.0,0.01012378804746,142.0,0.0013511070514467,458.0,169.0,0,0
40.0,29,104878.0,104866.0,104786.0,0.0,0.3997268676757812,0.00087720971033,4629.0,0.0441369972730219,357.0,0.003403955071607,760.0,233.0,1,0
40.0,30,105085.0,105073.0,104915.0,1.0,0.4002227783203125,0.0016082219155921,10372.0,0.098701051529714,411.0,0.003911119569872,1412.0,634.0,2,1
41.0,1,107002.0,106990.0,106998.0,1.0,0.4081687927246094,2.803685912412852e-05,464.0,0.0043363675445318,116.0,0.0010840918861329,353.0,66.0,0,0
41.0,2,107434.0,107422.0,107416.0,5.0,0.4097785949707031,0.0001210045237075,531.0,0.0049425693914403,123.0,0.0011448889550793,289.0,59.0,0,0
41.0,3,107244.0,107232.0,107162.0,3.0,0.4088020324707031,0.0007366379471112,4645.0,0.0433124463839468,306.0,0.0028533064786841,1018.0,249.0,2,1
41.0,4,107493.0,107481.0,107395.0,2.0,0.4096870422363281,0.0008930814099522,5296.0,0.0492683244490338,302.0,0.0028094852688082,1166.0,222.0,1,0
41.0,5,107284.0,107272.0,107019.0,0.0,0.4082450866699219,0.0024700794153834,13808.0,0.1287051191230752,750.0,0.006990790798255,929.0,343.0,1,0
41.0,6,107680.0,107668.0,107673.0,3.0,0.4107513427734375,3.714710252600297e-05,321.0,0.0029810549777117,68.0,0.000631500742942,264.0,90.0,0,0
41.0,7,107209.0,107197.0,107205.0,0.0,0.4089546203613281,3.73103004411943e-05,250.0,0.0023318937775746,58.0,0.0005409993563973,431.0,21.0,0,0
41.0,8,107250.0,107238.0,107249.0,0.0,0.4091224670410156,9.324009324009324e-06,32.0,0.0002983682983682,24.0,0.0002237762237762,159.0,10.0,0,0
41.0,9,107488.0,107476.0,107441.0,0.0,0.4098548889160156,0.0004372581125334,2442.0,0.0227188151235486,266.0,0.0024746948496576,626.0,131.0,1,0
41.0,10,107525.0,107513.0,107333.0,1.0,0.4094467163085937,0.001776331085794,10122.0,0.0941362473843292,437.0,0.0040641711229946,1747.0,343.0,2,1
41.0,11,107794.0,107782.0,107775.0,5.0,0.4111480712890625,0.0001298773586656,942.0,0.0087388908473569,164.0,0.0015214204872256,520.0,35.0,0,0
41.0,12,107582.0,107570.0,105552.0,133.0,0.4031562805175781,0.0176330612927813,101856.0,0.946775482887472,2492.0,0.0231637262739119,2000.0,658.0,1,0
41.0,13,107357.0,107345.0,107355.0,0.0,0.4095268249511719,1.862943264062893e-05,51.0,0.000475050532336,29.0,0.0002701267732891,127.0,8.0,0,0
41.0,14,107962.0,107950.0,105771.0,1.0,0.4034881591796875,0.0202849150627072,118080.0,1.093718160093366,1329.0,0.0123098868120264,4448.0,2064.0,2,1
41.0,15,107518.0,107506.0,107176.0,6.0,0.4088668823242187,0.0031250581298015,20265.0,0.1884800684536542,875.0,0.0081381722130247,1266.0,521.0,1,0
41.0,16,107605.0,107593.0,107582.0,1.0,0.4103965759277344,0.0002044514660099,1245.0,0.0115700943264718,185.0,0.0017192509641745,316.0,102.0,1,0
41.0,17,107370.0,107358.0,106288.0,10.0,0.4054946899414062,0.0099841668995063,59080.0,0.55024681009593,1015.0,0.0094532923535438,3179.0,963.0,1,0
41.0,18,107095.0,107083.0,106466.0,5.0,0.4061546325683594,0.0058266025491386,33172.0,0.3097436855128624,1373.0,0.0128203931089219,1508.0,542.0,1,0
41.0,19,107267.0,107255.0,107261.0,0.0,0.4091682434082031,5.593518976013126e-05,547.0,0.0050994247997986,110.0,0.0010254784789357,442.0,57.0,0,0
41.0,20,107187.0,107175.0,106228.0,0.0,0.4052276611328125,0.0089469805106962,51291.0,0.4785188502337037,1656.0,0.0154496347504828,2367.0,908.0,1,0
41.0,21,106904.0,106892.0,106805.0,0.0,0.4074287414550781,0.000926064506473,4548.0,0.042542842176158,428.0,0.0040035920077826,626.0,209.0,1,0
41.0,22,107872.0,107860.0,107069.0,13.0,0.4084854125976562,0.0073234945120142,40435.0,0.3748424058142984,828.0,0.0076757638682883,2374.0,1221.0,1,0
41.0,23,107373.0,107361.0,106258.0,0.0,0.4053421020507812,0.0103843610591116,56502.0,0.526221675840295,1863.0,0.0173507306306054,2000.0,566.0,1,0
