requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
50.0,29,130956.0,130936.0,20.0,0.00015272305201747153,6.0,20.0,0.00015272305201747153,2.0,3.818076300436788e-05,7,43569.0,0.00022952098969450757,43746.0,0.000182873862753166,43641.0,4.582846405902706e-05
50.0,30,130984.0,130971.0,13.0,9.924876320772003e-05,5.0,18.0,0.0001374213644414585,2.0,3.053808098699078e-05,6,43637.0,0.00016041432729106033,43704.0,0.00011440600402709134,43643.0,2.2913181953577892e-05
55.0,1,144030.0,144007.0,23.0,0.00015968895369020342,4.0,25.0,0.0001735749496632646,2.0,6.248698187877525e-05,5,47898.0,0.0002505323813102844,47846.0,0.000209003887472307,48286.0,2.070993662759392e-05
55.0,2,144344.0,144327.0,17.0,0.00011777420606329325,4.0,20.0,0.00013855788948622736,2.0,4.15673668458682e-05,5,47969.0,0.00018762117200692114,48185.0,8.301338590847774e-05,48190.0,8.300477277443452e-05
55.0,3,144142.0,144126.0,16.0,0.00011100165114956086,5.0,18.0,0.00012487685754325594,2.0,3.468801598423777e-05,6,48205.0,0.00022819209625557515,47964.0,4.1697940121757986e-05,47973.0,6.253517603652055e-05
55.0,4,143850.0,143818.0,32.0,0.0002224539450816823,8.0,24.0,0.00016684045881126174,2.0,5.5613486270420575e-05,9,47819.0,0.00041824379430770197,47880.0,0.00018796992481203009,48151.0,6.230400199372806e-05
55.0,5,143998.0,143992.0,6.0,4.1667245378408035e-05,3.0,16.0,0.00011111265434242142,1.0,2.7778163585605356e-05,4,47928.0,8.345852111500584e-05,48001.0,2.0832899314597614e-05,48069.0,2.0803428405001145e-05
55.0,6,144359.0,144337.0,22.0,0.0001523978414923905,5.0,18.0,0.00012468914303922859,1.0,4.1563047679742866e-05,6,47882.0,0.0002715007727329685,48049.0,0.00012487252596307934,48428.0,6.194763360039647e-05
55.0,7,144054.0,144022.0,32.0,0.00022213892012717452,6.0,25.0,0.0001735460313493551,2.0,7.636025379371625e-05,7,48174.0,0.0003944036202100718,47721.0,0.00018859621550260892,48159.0,8.305820303577732e-05
55.0,8,144134.0,144119.0,15.0,0.00010406982391385794,5.0,16.0,0.0001110078121747818,1.0,2.775195304369545e-05,6,48385.0,0.0001860080603492818,47830.0,8.3629521220991e-05,47919.0,4.17370980195747e-05
